Air temperature [K],Torque [Nm],Tool wear [min],Failure Type
301.9,43.2,225,0
298.7,38.7,88,0
299.4,59.0,38,0
299.1,24.0,235,0
301.7,31.3,42,0
297.4,35.9,180,0
302.3,36.7,18,0
296.8,49.0,140,0
297.1,44.7,88,0
298.0,33.7,212,0
299.8,42.5,181,0
303.5,59.5,71,0
299.4,39.0,26,0
298.7,39.3,94,0
300.4,41.9,184,0
300.7,20.5,9,0
300.0,37.9,58,0
297.3,37.6,147,0
298.0,49.7,94,0
302.3,25.0,43,0
300.5,44.5,30,0
296.9,40.3,150,0
298.2,31.7,155,0
297.5,43.5,191,0
300.6,33.2,185,0
303.3,27.3,27,0
300.9,40.1,79,0
298.1,43.4,105,0
300.6,37.6,162,0
302.5,46.1,175,0
297.4,31.0,89,0
304.0,39.5,83,0
298.7,46.8,162,0
300.5,42.0,182,0
298.0,36.3,5,0
303.6,30.8,104,0
297.3,43.4,14,0
299.8,44.6,116,0
301.7,46.6,104,0
300.3,25.6,139,0
301.9,37.5,135,0
301.6,51.7,197,0
301.6,29.5,193,0
301.2,38.3,49,0
302.4,35.0,122,0
301.1,37.6,11,0
298.6,56.0,0,0
300.6,28.6,135,0
300.2,31.0,199,0
298.0,37.1,35,0
300.9,43.8,69,0
300.8,34.3,144,0
300.6,43.1,31,0
300.7,52.6,199,0
301.6,42.5,97,0
301.1,73.6,49,1
300.7,30.0,76,0
298.1,50.4,110,0
300.7,31.4,48,0
298.7,33.6,183,0
300.2,51.5,189,0
298.0,34.7,213,0
298.8,45.6,185,0
297.3,57.4,134,0
300.9,46.0,166,0
302.5,30.5,90,0
302.3,51.5,154,0
301.3,31.0,37,0
301.5,39.4,17,0
301.9,28.4,103,0
300.4,28.6,206,0
301.0,48.0,135,0
298.2,32.0,202,0
300.6,18.0,16,0
299.8,43.1,12,0
302.3,39.5,22,0
302.9,40.8,183,0
301.5,39.0,143,0
297.8,41.9,196,0
301.0,37.6,118,0
301.5,54.9,187,0
300.2,28.0,162,0
301.0,21.7,79,0
298.0,28.7,38,0
300.4,40.4,112,0
302.7,29.9,5,0
302.3,29.7,137,0
300.7,43.0,148,0
300.5,12.2,17,1
301.3,54.2,49,0
297.3,37.0,54,0
298.5,47.3,2,0
300.9,30.2,188,0
297.7,24.6,15,0
298.1,27.3,63,0
297.4,57.4,66,0
295.6,48.7,147,0
297.4,38.2,154,0
302.5,52.7,135,0
299.2,41.4,219,0
298.9,44.1,140,0
303.4,42.8,92,0
301.5,27.9,101,0
300.3,53.4,123,0
299.8,44.4,14,0
298.6,41.1,30,0
297.4,25.9,54,0
297.7,29.9,210,0
300.4,43.0,9,0
298.9,29.2,195,0
298.4,50.0,203,0
300.0,41.7,130,0
297.9,18.7,126,0
298.7,29.8,74,0
299.6,46.1,76,0
302.2,42.6,16,0
300.9,16.1,85,0
302.0,22.0,106,0
300.8,35.5,79,0
298.5,44.6,83,0
301.4,30.7,92,0
299.7,35.1,177,0
299.3,40.9,141,0
301.9,63.6,137,0
298.6,48.1,39,0
299.2,36.4,32,0
298.5,44.5,124,0
297.6,32.1,155,0
302.5,40.1,165,0
302.2,36.0,169,0
300.9,43.8,112,0
301.5,12.0,21,1
296.9,47.6,60,0
297.7,28.8,152,0
301.5,16.8,105,0
298.7,52.9,69,0
299.7,57.4,138,0
301.2,45.2,68,0
303.3,35.5,217,0
299.8,49.4,116,0
301.4,45.3,183,0
300.7,37.9,58,0
300.5,46.3,173,0
297.9,43.0,4,0
297.4,45.5,11,0
298.3,32.2,179,0
299.7,49.7,184,0
299.1,41.2,185,0
297.5,39.1,47,0
303.6,41.9,221,0
301.5,40.7,208,0
301.0,29.9,148,0
297.8,61.2,12,0
298.9,47.6,15,0
297.3,36.1,70,0
297.4,40.2,114,0
300.2,41.8,41,0
298.2,42.9,60,0
300.7,43.7,215,0
299.3,38.9,94,0
297.6,43.2,206,0
298.9,31.1,169,0
300.5,36.6,54,0
298.4,28.4,66,0
301.1,39.0,129,0
296.4,31.4,72,0
300.4,54.1,193,0
301.7,31.9,192,0
300.8,34.5,153,0
302.0,28.6,190,0
303.5,25.8,105,0
300.5,36.9,65,0
298.2,49.9,47,0
299.3,44.8,221,0
301.3,50.7,10,0
297.7,48.3,84,0
298.3,37.1,84,0
301.1,22.8,31,0
297.9,34.7,33,0
301.7,34.5,216,0
301.3,33.6,80,0
300.9,31.8,190,0
298.6,48.4,42,0
298.0,34.3,191,0
297.5,12.8,127,1
295.3,51.0,187,0
298.4,51.2,13,0
302.2,29.6,115,0
299.7,39.5,26,0
298.2,46.7,74,0
300.7,61.0,177,0
300.4,42.6,176,0
302.2,34.6,163,0
297.9,46.9,85,0
299.3,47.9,131,0
301.1,24.9,93,0
302.1,59.1,88,3
300.3,33.1,150,0
298.3,27.1,136,0
298.8,28.5,152,0
302.1,35.8,164,0
300.8,50.6,141,0
300.6,44.6,87,0
298.1,29.1,161,0
300.7,31.0,196,0
301.1,35.2,70,0
301.6,34.1,150,0
300.3,41.3,172,0
300.0,28.0,202,0
300.4,20.3,26,0
299.1,27.4,72,0
298.5,27.1,13,0
298.3,38.3,142,0
298.6,64.1,71,0
301.9,48.0,124,0
302.8,46.2,70,0
303.7,33.8,63,0
300.3,60.1,58,0
298.9,33.5,128,0
301.5,55.6,158,0
296.4,19.4,183,0
303.0,48.2,65,3
299.5,13.0,179,1
299.2,68.2,76,1
297.4,36.2,92,0
301.6,45.4,156,0
301.0,58.0,190,2
300.3,53.5,192,0
300.8,59.1,203,2
303.5,38.7,14,0
295.9,33.2,55,0
302.9,41.4,94,0
300.7,43.6,240,0
301.2,19.7,169,0
298.0,33.9,40,0
300.9,35.3,153,0
302.1,47.8,213,3
297.5,72.0,151,1
303.5,38.4,92,0
300.5,52.5,146,0
300.7,51.1,50,0
303.4,39.9,63,0
300.5,45.7,54,0
298.0,58.8,202,2
300.6,42.7,130,0
299.1,28.0,168,0
297.8,44.2,62,0
299.7,29.6,201,0
302.3,38.7,141,0
299.1,53.8,18,0
303.5,48.6,193,0
299.2,39.7,83,0
296.5,40.7,85,0
303.4,42.3,180,0
300.5,34.8,87,0
300.0,45.6,187,0
303.8,41.3,134,0
297.6,37.1,121,0
300.6,40.9,132,0
303.4,43.9,94,0
300.8,59.1,91,1
299.4,60.5,104,0
301.6,42.6,158,0
298.8,46.3,133,0
300.4,48.7,24,0
297.0,53.0,115,0
298.4,44.9,135,0
298.5,42.4,173,0
300.6,40.4,172,0
300.3,40.9,76,0
299.8,36.1,95,0
302.3,54.6,120,0
301.7,24.8,17,0
298.0,44.1,165,0
300.0,42.6,180,0
298.3,38.1,146,0
301.8,39.6,227,0
297.3,32.7,131,0
297.0,34.7,57,0
299.5,28.6,98,0
299.4,40.1,7,0
300.1,37.1,77,0
300.6,52.3,49,0
302.7,43.7,13,0
297.0,40.7,184,0
302.2,37.3,207,4
301.6,29.7,131,0
300.6,40.6,99,0
302.7,21.4,71,0
300.9,40.2,168,0
300.0,28.3,94,0
304.2,43.7,151,0
298.5,30.6,11,0
302.3,31.9,207,0
297.8,56.5,98,0
298.9,25.3,197,0
299.0,49.6,94,0
296.9,38.1,135,0
299.1,31.6,65,0
297.9,45.0,183,0
299.3,37.9,204,0
303.3,40.7,48,0
301.1,45.8,42,0
301.6,42.9,89,0
298.6,27.5,54,0
299.8,41.7,85,0
297.4,40.1,126,0
303.5,30.4,130,0
299.9,27.6,177,0
297.6,37.9,79,0
300.1,27.4,44,0
299.8,53.2,95,0
303.9,31.9,5,0
303.7,45.9,121,0
298.0,45.6,184,0
301.9,35.3,65,0
300.3,52.1,205,0
300.5,34.9,91,0
299.3,49.6,191,0
297.0,33.3,155,0
301.6,51.2,132,0
300.2,47.3,66,0
298.9,48.8,147,0
302.3,48.0,180,0
301.9,37.6,69,0
302.4,43.1,137,0
298.6,51.4,168,0
300.6,40.0,55,0
298.3,41.6,112,0
297.6,46.7,150,0
298.4,47.6,24,0
302.8,34.4,64,0
298.7,27.0,50,0
298.1,16.3,195,0
300.7,47.3,203,0
297.8,64.2,0,1
299.7,54.6,131,0
303.9,37.2,195,0
298.2,34.1,91,0
298.6,43.8,138,0
299.7,64.8,71,0
300.4,30.3,161,0
295.6,46.2,113,0
300.6,34.7,89,0
299.5,61.8,45,0
299.4,22.1,55,0
297.1,33.3,192,0
300.6,30.3,91,0
301.5,34.9,186,0
302.3,27.8,127,0
301.5,58.1,67,0
302.0,58.4,201,0
299.0,38.9,18,0
301.7,12.6,10,0
301.4,33.3,85,0
300.4,29.0,137,0
304.3,42.0,2,0
300.2,49.3,16,0
303.3,44.6,223,0
299.1,55.5,159,0
300.2,29.6,13,0
298.4,39.6,78,0
298.6,47.1,149,0
302.0,27.2,192,0
299.1,33.3,123,0
298.3,36.1,168,0
301.9,55.6,57,0
300.6,43.7,153,0
298.0,26.7,203,0
298.9,49.5,79,0
297.6,14.4,171,0
299.5,47.8,223,0
301.9,37.0,35,0
301.1,53.1,188,0
297.7,35.1,9,0
301.0,28.1,133,0
298.7,53.3,212,2
298.5,42.6,120,0
298.8,43.1,63,0
299.1,43.4,0,0
302.0,58.2,110,3
300.4,28.9,171,0
301.3,36.6,184,0
298.5,34.9,18,0
300.6,43.2,96,0
299.1,51.4,66,0
300.1,50.3,196,0
299.4,50.5,153,0
296.8,36.5,179,0
297.8,35.1,138,0
297.3,54.2,179,0
299.3,44.4,82,0
298.9,43.4,114,0
302.2,21.9,101,0
296.6,40.2,96,0
299.5,48.3,154,0
298.9,47.5,9,0
300.8,26.3,144,0
297.2,28.0,43,0
299.3,48.2,65,0
301.0,28.5,197,0
299.9,46.3,173,0
297.3,24.7,75,0
302.5,36.5,43,0
300.7,50.3,137,0
296.9,29.9,177,0
297.2,27.5,38,0
301.7,35.9,121,0
298.6,36.9,12,0
303.0,37.9,163,0
302.4,23.3,172,0
302.6,25.8,128,0
304.1,50.3,39,0
296.3,35.0,192,0
300.7,41.2,71,0
300.7,43.2,187,0
303.7,38.8,139,0
297.1,58.0,162,0
297.9,49.0,51,0
298.7,27.9,136,0
301.2,29.7,30,0
300.7,26.0,195,0
302.1,37.9,148,0
300.3,32.4,50,0
299.0,28.0,116,0
302.0,50.3,231,2
303.3,29.0,125,0
299.9,45.7,178,0
300.6,26.9,111,0
303.1,35.2,23,0
300.5,32.7,85,0
297.7,43.3,111,0
301.0,27.3,14,0
301.2,44.4,53,0
300.4,35.5,164,0
298.0,42.5,47,0
300.8,43.5,227,0
301.3,32.1,12,0
301.5,46.1,81,0
299.1,33.1,187,0
303.4,48.4,34,0
297.3,40.2,112,0
299.8,36.4,0,0
298.6,68.2,172,1
301.7,26.2,71,0
302.5,42.9,52,0
297.5,36.8,77,0
298.6,35.6,185,0
297.2,24.6,142,0
303.5,36.9,87,0
299.0,21.2,125,0
300.4,59.5,160,0
297.7,34.2,114,0
299.3,52.1,71,0
299.6,49.9,78,0
298.6,59.4,104,0
301.8,31.7,202,0
298.4,53.1,9,0
301.2,52.4,13,0
299.9,52.8,31,0
301.9,21.8,177,0
297.2,38.5,86,0
298.3,45.4,98,0
298.7,40.7,85,0
303.7,22.4,166,0
300.4,38.9,37,0
297.6,34.3,41,0
300.4,30.5,234,4
298.1,30.4,58,0
299.2,45.8,38,0
298.6,55.5,28,0
298.6,46.0,4,0
299.7,43.1,101,0
302.5,41.9,156,0
298.9,44.4,76,0
300.4,30.4,191,0
297.4,44.0,18,0
297.8,38.1,188,0
301.0,42.6,107,0
298.0,49.1,85,0
300.3,33.6,158,0
298.1,57.4,161,0
302.4,31.1,96,0
299.4,24.6,158,0
300.3,45.0,82,0
297.6,26.4,41,0
302.2,32.9,52,0
296.8,40.0,130,0
298.6,32.3,6,0
300.6,39.0,142,0
298.8,43.4,66,0
301.6,57.1,68,0
301.2,49.9,74,0
302.5,35.7,167,0
299.3,47.4,14,0
300.8,35.6,14,0
303.7,32.3,206,0
300.9,50.7,185,0
299.7,30.8,137,0
297.3,33.5,2,0
301.9,31.9,0,0
297.6,35.0,6,0
299.3,50.6,189,0
297.6,46.2,218,0
302.3,37.6,124,0
299.4,41.0,213,0
301.3,50.1,88,0
303.9,53.4,172,0
303.5,56.8,88,0
302.2,43.0,91,0
298.2,25.1,108,0
303.4,42.6,204,0
296.8,37.6,126,0
298.6,40.8,177,0
301.2,34.9,95,0
298.4,52.9,130,0
301.2,37.6,32,0
302.4,40.7,174,0
298.1,32.8,51,0
300.3,37.5,6,0
302.3,32.4,26,0
303.9,39.9,176,0
300.3,37.5,5,0
297.1,30.3,206,0
302.2,48.6,110,0
297.9,24.8,44,0
299.2,53.4,100,0
300.9,27.9,202,0
303.9,39.8,107,0
298.9,49.0,13,0
300.2,35.1,44,0
301.3,35.3,54,0
301.9,63.6,111,0
297.9,40.9,42,0
302.0,34.8,207,0
302.9,45.3,135,0
300.1,35.0,191,0
298.0,37.9,89,0
300.9,19.4,107,0
301.7,39.5,158,0
302.3,37.2,15,0
300.7,51.6,130,0
300.7,26.5,63,0
295.9,38.6,104,0
298.2,41.6,62,0
303.8,35.8,147,0
298.1,46.2,173,0
298.5,44.8,217,0
297.5,36.7,184,0
296.6,47.8,187,0
298.6,36.8,36,0
298.1,25.2,77,0
301.8,32.6,201,0
301.6,50.5,214,0
302.2,23.1,2,0
297.4,23.8,131,0
296.7,60.5,0,0
301.2,46.7,166,0
297.3,47.6,110,0
302.8,30.0,87,0
302.2,24.9,91,0
301.7,65.5,229,3
300.6,50.0,70,0
300.0,16.3,170,0
298.6,34.1,174,0
299.3,32.6,177,0
299.8,43.2,153,0
297.6,42.3,27,0
304.1,43.9,182,0
300.7,38.8,173,0
297.9,44.7,8,0
300.7,52.4,163,0
297.6,41.7,81,0
299.0,59.5,46,0
300.2,36.9,71,0
298.2,37.7,207,0
297.8,33.1,116,0
298.9,43.6,78,0
299.4,43.3,10,0
302.1,45.1,174,0
298.0,33.1,56,0
302.3,34.3,0,0
304.3,25.4,170,0
300.8,26.9,116,0
298.4,41.8,203,0
301.4,62.6,183,2
302.9,30.5,46,0
299.6,48.7,96,0
300.7,46.2,97,0
298.3,49.2,166,0
297.3,58.8,199,0
299.3,37.8,45,0
300.3,24.4,88,0
301.2,44.0,113,0
297.6,29.1,134,0
296.7,29.6,119,0
298.7,48.9,187,0
298.2,35.0,137,0
302.0,62.7,142,1
302.5,38.8,135,0
299.5,38.3,122,0
300.5,41.8,112,0
297.2,43.7,162,0
298.4,45.9,63,0
